51526;"2024-09-26;"В Петербурге откроется выставка-байопик про Виктора Цоя";"null";"На ней покажут уникальное собрание его личных вещей.";https://kudago.com/spb/news/v-peterburge-otkroetsya-vyistavka-/;0;0;0.5
51525;"2024-09-26;"Над Петербургом и Ленобластью заметили северное сияние";"null";"Наблюдению не помешал даже дождь.";https://kudago.com/spb/news/nad-peterburgom-i-lenoblastyu/;0;0;0.5
51524;"2024-09-26;"Оркестр «Северная симфония» под руководством Фабио Мастранджело открыл новый сезон";"null";"Музыканты представили проект, посвящённый Пушкину.";https://kudago.com/spb/news/orkestr-severnaya-simfoniya-pod/;0;0;0.5
51506;"2024-09-26;"Петербург Лии Арден: по следам вдохновения писательницы";"null";"В списках городов, повлиявших на творчество отечественных писателей в самые разные эпохи, Петербург определённо занимает лидирующие строчки: сложно сосчитать всех именитых авторов, чья поэзия и проза пронизана духом Северной столицы. Звезда русскоязычного фэнтези Лия Арден в их числе. Сейчас писательница живёт и работает в Южной Корее, при этом не забывая про родной для неё Санкт-Петербург и регулярно возвращаясь туда для встреч с преданными поклонниками её романов.
Мы спросили Лию, с какими достопримечательностями города на Неве у неё связаны особые воспоминания и как эти памятные локации нашли отражение на страницах её книг. Приготовьтесь открыть Петербург с новой, магической стороны.";https://kudago.com/spb/news/peterburg-lii-arden-po-sledam/;0;0;0.5
51521;"2024-09-26;"В Баварии состоялся крупнейший в мире парад такс";"null";"Участвовало больше 1000 животных.";https://kudago.com/all/news/v-bavarii-sostoyalsya-krupnejshij-v/;0;0;0.5
51520;"2024-09-26;"Вышел дебютный трейлер продолжения «Волшебников из Вэйверли-плейс»";"null";"Селена Гомес снялась в первом эпизоде в качестве приглашённого гостя.";https://kudago.com/all/news/vyishel-debyutnyij-trejler/;0;0;0.5
51519;"2024-09-25;"Опубликован трейлер сериала Альфонсо Куарона с Кейт Бланшетт";"null";"В проекте также участвуют Саша Барон Коэн и звезда «Игры в кальмара» Чон Хо Ён.";https://kudago.com/all/news/poyavilsya-trejler-seriala/;0;0;0.5
51518;"2024-09-25;"У Linkin Park вышла новая песня";"null";"Она войдёт в грядущий альбом группы.";https://kudago.com/all/news/u-linkin-park-vyishla-novaya-pesnya/;0;0;0.5
51517;"2024-09-25;"Леди Гага анонсировала новый альбом";"null";"Он выйдет в конце сентября.";https://kudago.com/all/news/novyj-albom-ledi-gagi/;0;0;0.5
51516;"2024-09-25;"Вышел тизер-трейлер спин-оффа «Головоломки»";"null";"Премьера состоится в декабре.";https://kudago.com/all/news/tizer-trejler-spin-offa-golovolomki/;0;0;0.5
51515;"2024-09-25;"Фотография души: почему стоит посетить новое шоу Ленинград Центра";"newsAPI.dto.News$Place@17497425";"В честь 10-летия Ленинград Центра на его сцене премьера 2024 года — шоу «Коллекционер. Фотоувеличение». Это путешествие в мир фотографии, любви, красоты и силы человеческого тела, многогранности танцевального искусства. Это рассказ о том, что снимок — не просто фиксация момента из жизни, но всегда история, которая не заканчивается за щелчком затвора.";https://kudago.com/spb/news/fotografiya-dushi-pochemu-stoit/;0;0;0.5
51514;"2024-09-25;"Нейросеть перерисовала героев «Простоквашино» в стиле Миядзаки";"null";"Комментаторы отмечают похорошевшего Шарика.";https://kudago.com/all/news/nejroset-pererisovala-geroev/;0;0;0.5
51512;"2024-09-25;"У Биржевого моста открыли пешеходный тоннель с подогревом";"null";"Он предотвращает образование наледи.";https://kudago.com/spb/news/u-birzhevogo-mosta-otkryili/;0;0;0.5
